                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.2547,                0.31475,                0.85995,                0.96559,                0.98469,                0.98608,                0.94354,                0.33614,                0.40544,                0.72167,              0.0011059,              0.0011059,              0.0011059
                     36,                 0.2558,                0.31848,                0.86404,                0.98039,                0.97846,                0.98873,                0.95124,                0.31194,                0.39591,                0.70973,              0.0010894,              0.0010894,              0.0010894
                     37,                0.25651,                0.31529,                0.86738,                0.97707,                 0.9839,                0.98845,                0.95164,                0.30061,                0.37505,                0.68148,              0.0010729,              0.0010729,              0.0010729
                     38,                0.25752,                0.30634,                0.86091,                 0.9735,                0.98117,                0.98493,                 0.9489,                0.29812,                0.36795,                0.68533,              0.0010564,              0.0010564,              0.0010564
                     39,                0.25288,                  0.308,                0.86419,                0.99102,                0.94829,                0.98706,                0.94348,                0.29813,                0.35821,                0.69826,              0.0010399,              0.0010399,              0.0010399
                     40,                0.25164,                0.29706,                0.85893,                0.99208,                0.96518,                0.99089,                0.94461,                0.30808,                0.33693,                0.71041,              0.0010234,              0.0010234,              0.0010234
                     41,                0.24855,                0.28812,                0.85645,                 0.9834,                0.98676,                0.99429,                0.94272,                 0.3189,                0.32601,                0.70426,              0.0010069,              0.0010069,              0.0010069
                     42,                0.25119,                 0.2876,                0.85928,                0.97779,                 0.9848,                0.99376,                0.95113,                 0.2873,                0.31943,                0.68907,             0.00099036,             0.00099036,             0.00099036
                     43,                0.24929,                0.28141,                0.85457,                0.97907,                0.98481,                0.99331,                0.94489,                0.30501,                0.30794,                0.69928,             0.00097386,             0.00097386,             0.00097386
                     44,                0.24743,                0.28051,                0.85657,                0.98771,                0.97716,                0.99273,                0.95848,                0.28505,                0.29312,                0.66912,             0.00095736,             0.00095736,             0.00095736
                     45,                0.24743,                0.27864,                0.85994,                0.98695,                0.95405,                0.98878,                0.93431,                0.32543,                0.32546,                0.71258,             0.00094085,             0.00094085,             0.00094085
                     46,                0.23873,                0.27375,                0.85918,                0.97222,                0.96352,                0.98925,                 0.9454,                 0.3061,                0.33145,                0.69672,             0.00092435,             0.00092435,             0.00092435
                     47,                0.23794,                0.27256,                0.85344,                0.97262,                0.97842,                0.99061,                0.95358,                0.30451,                 0.3245,                0.69921,             0.00090785,             0.00090785,             0.00090785
                     48,                0.23344,                0.26332,                0.85823,                0.97019,                0.97948,                0.98846,                0.94973,                0.29018,                0.32652,                0.67422,             0.00089134,             0.00089134,             0.00089134
                     49,                0.23306,                0.26304,                0.85299,                0.97437,                 0.9795,                0.98797,                0.93189,                0.33961,                0.30396,                0.68776,             0.00087484,             0.00087484,             0.00087484
                     50,                0.22461,                0.25552,                0.85191,                 0.9804,                0.97626,                0.98835,                0.95429,                0.28707,                0.28944,                0.68391,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.2365,                0.26302,                 0.8525,                 0.9716,                0.98784,                0.99376,                0.96021,                0.28136,                   0.28,                0.69487,             0.00084184,             0.00084184,             0.00084184
                     52,                0.22905,                0.25414,                0.85456,                0.98873,                0.96632,                0.99272,                0.95664,                0.27106,                 0.2871,                0.68599,             0.00082533,             0.00082533,             0.00082533
                     53,                0.23758,                0.25553,                0.85757,                0.98749,                0.97502,                0.99305,                 0.9621,                0.27709,                0.27699,                0.68217,             0.00080883,             0.00080883,             0.00080883
                     54,                0.23179,                0.25145,                0.85627,                0.97577,                0.98009,                0.99096,                0.95987,                0.26245,                0.27448,                0.67137,             0.00079233,             0.00079233,             0.00079233
                     55,                0.22325,                0.24761,                0.85497,                0.97626,                0.98176,                0.99188,                0.96322,                0.24709,                0.27067,                 0.6701,             0.00077582,             0.00077582,             0.00077582
                     56,                0.21963,                0.24444,                0.85155,                0.97618,                0.98305,                 0.9892,                0.96283,                 0.2427,                0.25217,                 0.6603,             0.00075932,             0.00075932,             0.00075932
                     57,                0.22365,                0.24658,                0.85138,                0.97786,                0.97748,                0.98906,                0.95724,                0.24966,                0.25704,                0.66598,             0.00074282,             0.00074282,             0.00074282
